entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,exit_reason,market_status,holding_days,position_weight
2024-01-05,2024-01-05,001314,60.5579,60.5579,0.0,-0.004,67.28310277192068,stop_loss,bull,1,0.13456620554384136
2024-01-03,2024-01-08,000099,8.6472,8.3112,-0.03885650846516795,-0.04285650846516795,83.89496645536283,stop_loss,bull,4,0.16778993291072566
2024-01-04,2024-01-08,000421,6.6223,6.3222,-0.04531658185222664,-0.049316581852226635,100.0,stop_loss,bull,3,0.2
2024-01-04,2024-01-08,688525,44.35,43.0,-0.03043968432919958,-0.03443968432919958,72.31803973252305,stop_loss,bull,3,0.14463607946504609
2024-01-04,2024-01-08,002049,63.3117,60.6224,-0.04247714087601506,-0.046477140876015066,66.5533487627904,stop_loss,bull,3,0.13310669752558082
2024-01-08,2024-01-08,603332,11.3529,11.3529,0.0,-0.004,73.34040852906833,stop_loss,bull,1,0.14668081705813665
2024-01-08,2024-01-08,603530,19.4335,19.4335,0.0,-0.004,68.51606141112264,stop_loss,bull,1,0.13703212282224528
2024-01-03,2026-04-08,000155,12.83,16.63,0.29618082618862035,0.29218082618862035,100.0,end_of_backtest,bull,4,0.2
2024-01-03,2026-04-08,000400,21.2799,28.21,0.3256641243614866,0.3216641243614866,96.04844639010503,end_of_backtest,bull,4,0.19209689278021005
2024-01-03,2026-04-08,000408,24.4464,84.5,2.456541658485503,2.452541658485503,84.21077449276731,end_of_backtest,bull,4,0.16842154898553463
2024-01-03,2026-04-08,000027,6.31,6.78,0.07448494453248822,0.07048494453248821,69.12286327257353,end_of_backtest,bull,4,0.13824572654514705
2024-01-04,2026-04-08,000409,8.95,10.6,0.1843575418994414,0.1803575418994414,100.0,end_of_backtest,bull,3,0.2
2024-01-04,2026-04-08,000096,11.4772,10.04,-0.12522217962569274,-0.12922217962569274,76.25498255516187,end_of_backtest,bull,3,0.15250996511032378
2024-01-05,2026-04-08,000019,7.63,7.98,0.045871559633027595,0.04187155963302759,87.2184120114382,end_of_backtest,bull,2,0.1744368240228764
2024-01-05,2026-04-08,000651,27.6751,37.8,0.36584872322051215,0.36184872322051215,69.44750690244925,end_of_backtest,bull,2,0.13889501380489852
2024-01-05,2026-04-08,003021,58.0036,99.12,0.7088594501030971,0.7048594501030971,64.57191410549964,end_of_backtest,bull,2,0.1291438282109993
2024-01-05,2026-04-08,000020,12.97,15.61,0.20354664610639928,0.19954664610639927,64.52595980694988,end_of_backtest,bull,2,0.12905191961389978
2024-01-08,2026-04-08,000001,9.23,11.22,0.2156013001083424,0.21160130010834238,100.0,end_of_backtest,bull,1,0.2
2024-01-08,2026-04-08,000028,29.09,26.47,-0.09006531454107944,-0.09406531454107944,80.57602735086874,end_of_backtest,bull,1,0.1611520547017375
2024-01-08,2026-04-08,000039,7.96,11.66,0.4648241206030151,0.4608241206030151,72.3526981663625,end_of_backtest,bull,1,0.14470539633272503
2024-01-09,2026-04-08,000099,8.2223,17.29,1.1028179463167238,1.0988179463167238,100.0,end_of_backtest,bull,0,0.2
2024-01-09,2026-04-08,600630,12.537,8.01,-0.3610911701363963,-0.3650911701363963,68.77726272875915,end_of_backtest,bull,0,0.1375545254575183
2024-01-09,2026-04-08,002255,5.4673,10.77,0.9698937318237522,0.9658937318237522,66.41141191911885,end_of_backtest,bull,0,0.1328228238382377
2024-01-09,2026-04-08,600435,10.2337,14.74,0.4403392712313239,0.4363392712313239,65.8283930250013,end_of_backtest,bull,0,0.1316567860500026
2024-01-09,2026-04-08,002783,9.8408,9.64,-0.020404845134541827,-0.024404845134541827,65.28297786670946,end_of_backtest,bull,0,0.13056595573341892
